analysis_sample_rate|artist_familiarity|artist_hotttnesss|artist_latitude|artist_longitude|artist_terms|artist_terms_freq|artist_terms_weight|bars_confidence|bars_start|beats_confidence|beats_start|danceability|duration|end_of_fade_in|energy|key|key_confidence|loudness|mode|mode_confidence|sections_confidence|sections_start|segments_confidence|segments_loudness_max|segments_loudness_max_time|segments_loudness_start|segments_pitches|segments_start|segments_timbre|song_hotttnesss|start_of_fade_out|tatums_confidence|tatums_start|tempo|time_signature|time_signature_confidence|year|genre
22050|0.332421635339|0.314494836503|0|0|10|10|10|63|63|254|254|0.0|123.95057|0.351|0.0|0|0.489|-13.057|0|0.54|6|6|284|284|284|284|284|284|284|0|117.255|507|507|129.418|4|0.639|0|Blues
22050|0.506126773892|0.350787890875|0|0|38|38|38|83|83|335|335|0.0|146.15465|0.427|0.0|1|0.255|-21.852|1|0.523|8|8|458|458|458|458|458|458|458|0|138.553|669|669|143.031|4|0.434|2001|Blues
22050|0.662250483665|0.410053622676|0|0|13|13|13|88|88|355|355|0.0|217.86077|0.168|0.0|11|0.485|-11.222|0|0.621|9|9|1194|1194|1194|1194|1194|1194|1194|0.0|211.487|1420|1420|97.997|4|1.0|0|Rap
22050|0.57810362972|0.414892612437|37.77916|-122.42005|39|39|39|135|135|408|408|0.0|201.42975|0.41|0.0|9|0.434|-18.7|0|0.449|11|11|718|718|718|718|718|718|718|0|192.435|817|817|124.391|3|0.318|1964|Blues
22050|0.558481252978|0.376325960229|0|0|21|21|21|47|47|221|221|0.0|169.37751|0.189|0.0|0|0.753|-16.895|1|0.65|6|6|497|497|497|497|497|497|497|0.473346541109|161.93|442|442|82.585|4|0.129|2001|Blues
22050|0.363475534701|0.0|0|0|28|28|28|359|359|1440|1440|0.0|518.81751|0.49|0.0|10|0.744|-12.197|1|0.62|25|25|2582|2582|2582|2582|2582|2582|2582|0|512.813|2881|2881|168.039|4|0.733|0|International
22050|0.613969622451|0.445094799282|0|0|36|36|36|212|212|850|850|0.0|403.85261|0.0|0.0|6|0.247|-9.689|0|0.454|16|16|2759|2759|2759|2759|2759|2759|2759|0|400.161|1700|1700|126.927|4|0.79|0|Rap
22050|0.729212274097|0.481339308574|0|0|16|16|16|75|75|232|232|0.0|201.97832|0.177|0.0|1|0.057|-3.669|1|0.131|8|8|964|964|964|964|964|964|964|0.215080318509|198.316|1159|1159|69.594|3|1.0|0|Rap
22050|0.453171007071|0.300855900102|31.1689|-100.07715|45|45|45|89|89|358|358|0.0|216.05832|2.659|0.0|0|0.0|-18.812|0|0.0|11|11|283|283|283|283|283|283|283|0.0|190.206|715|715|100.16|4|1.0|0|Blues
22050|0.379734511746|0.31386609958|0|0|5|5|5|71|71|290|290|0.0|180.00934|0.554|0.0|1|1.0|-13.943|1|0.921|10|10|558|558|558|558|558|558|558|0.27074649435|169.599|580|580|96.962|4|1.0|2003|Country
22050|0.707839968442|0.532445870959|0|0|26|26|26|79|79|321|321|0.0|205.50485|0.154|0.0|6|0.393|-16.619|0|0.546|7|7|803|803|803|803|803|803|803|0.563755208391|202.838|642|642|94.48|4|1.0|1981|Country
