analysis_sample_rate|artist_familiarity|artist_hotttnesss|artist_latitude|artist_longitude|artist_terms|artist_terms_freq|artist_terms_weight|bars_confidence|bars_start|beats_confidence|beats_start|danceability|duration|end_of_fade_in|energy|key|key_confidence|loudness|mode|mode_confidence|sections_confidence|sections_start|segments_confidence|segments_loudness_max|segments_loudness_max_time|segments_loudness_start|segments_pitches|segments_start|segments_timbre|song_hotttnesss|start_of_fade_out|tatums_confidence|tatums_start|tempo|time_signature|time_signature_confidence|year|genre
22050|0.332421635339|0.314494836503|0|0|10|10|10|63|63|254|254|0.0|123.95057|0.351|0.0|0|0.489|-13.057|0|0.54|6|6|284|284|284|284|284|284|284|0|117.255|507|507|129.418|4|0.639|0|Blues
22050|0.506126773892|0.350787890875|0|0|38|38|38|83|83|335|335|0.0|146.15465|0.427|0.0|1|0.255|-21.852|1|0.523|8|8|458|458|458|458|458|458|458|0|138.553|669|669|143.031|4|0.434|2001|Blues
22050|0.842577664477|0.514522578266|0|0|15|15|15|164|164|824|824|0.0|315.27138|0.0|0.0|9|0.618|-6.611|0|0.591|10|10|1222|1222|1222|1222|1222|1222|1222|0.728377176857|293.494|1649|1649|156.917|5|1.0|2008|Pop/Rock
22050|0.598636433949|0.415235932902|29.07904|-110.94695|18|18|18|104|104|421|421|0.0|245.34159|2.775|0.0|9|0.261|-9.044|0|0.352|10|10|893|893|893|893|893|893|893|0.513189736126|230.197|841|841|104.0|4|0.627|0|Pop/Rock
22050|0.641525136191|0.387181941622|35.21962|-80.01955|27|27|27|104|104|421|421|0.0|196.57098|0.125|0.0|0|0.72|-5.881|1|0.556|11|11|784|784|784|784|784|784|784|0|193.875|842|842|130.119|4|0.75|0|Pop/Rock
22050|0.866519754051|0.766545450757|0|0|29|29|29|157|157|632|632|0.0|251.66322|3.373|0.0|1|0.265|-11.881|1|0.434|9|9|875|875|875|875|875|875|875|0|243.873|1265|1265|152.448|4|0.0|1972|Pop/Rock
22050|0.662250483665|0.410053622676|0|0|13|13|13|88|88|355|355|0.0|217.86077|0.168|0.0|11|0.485|-11.222|0|0.621|9|9|1194|1194|1194|1194|1194|1194|1194|0.0|211.487|1420|1420|97.997|4|1.0|0|Rap
22050|0.57810362972|0.414892612437|37.77916|-122.42005|39|39|39|135|135|408|408|0.0|201.42975|0.41|0.0|9|0.434|-18.7|0|0.449|11|11|718|718|718|718|718|718|718|0|192.435|817|817|124.391|3|0.318|1964|Blues
22050|0.882111591224|0.670106172837|0|0|15|15|15|119|119|480|480|0.0|246.09914|3.698|0.0|0|0.621|-9.695|1|0.609|12|12|978|978|978|978|978|978|978|0.454192988218|221.373|960|960|119.06|4|1.0|2005|Pop/Rock
22050|0.558481252978|0.376325960229|0|0|21|21|21|47|47|221|221|0.0|169.37751|0.189|0.0|0|0.753|-16.895|1|0.65|6|6|497|497|497|497|497|497|497|0.473346541109|161.93|442|442|82.585|4|0.129|2001|Blues
22050|0.403103659382|0.316486173006|34.19451|-90.5651|41|41|41|50|50|215|215|0.0|160.78322|0.525|0.0|7|0.574|-6.506|1|0.402|8|8|522|522|522|522|522|522|522|0|157.565|430|430|80.498|4|1.0|0|Pop/Rock
